Time|s,DOAScon.supFanStart,testBed.returnairtemp,testBed.outdoorairtemp
1.688787e+07,1,294.90125,312.17816
1.688787e+07,1,294.90125,312.17816
1.68879e+07,1,294.90997,312.19113
1.68879e+07,1,294.90997,312.19113
16887928,1,294.90414,312.2027
16887928,1,294.90414,312.2027
1.688793e+07,1,294.91644,312.20383
1.688793e+07,1,294.91644,312.20383
1.688796e+07,1,294.9042,312.2163
1.688796e+07,1,294.9042,312.2163
1.688799e+07,1,294.90363,312.22855
1.688799e+07,1,294.90363,312.22855
1.688802e+07,1,294.9106,312.24057
1.688802e+07,1,294.9106,312.24057
1.688805e+07,1,294.9009,312.25235
1.688805e+07,1,294.9009,312.25235
1.688808e+07,1,294.9066,312.26392
1.688808e+07,1,294.9066,312.26392
1.688811e+07,1,294.89603,312.2753
1.688811e+07,1,294.89603,312.2753
1.688814e+07,1,294.8929,312.28644
1.688814e+07,1,294.8929,312.28644
1.688815e+07,1,294.91946,312.28995
1.688815e+07,1,294.91946,312.28995
1.688817e+07,1,294.89383,312.2974
1.688817e+07,1,294.89383,312.2974
1.68882e+07,1,294.89682,312.30814
1.68882e+07,1,294.89682,312.30814
1.688823e+07,1,294.9134,312.3187
1.688823e+07,1,294.9134,312.3187
16888244,1,294.89868,312.3232
16888244,1,294.89868,312.3232
1.688826e+07,1,294.89236,312.32904
1.688826e+07,1,294.89236,312.32904
1.688829e+07,1,294.88666,312.3392
1.688829e+07,1,294.88666,312.3392
1.688832e+07,1,294.8884,312.3492
1.688832e+07,1,294.8884,312.3492
1.688835e+07,1,294.89163,312.359
1.688835e+07,1,294.89163,312.359
1.688838e+07,1,294.8864,312.36865
1.688838e+07,1,294.8864,312.36865
16888406,1,294.88644,312.37683
16888406,1,294.88644,312.37683
1.688841e+07,1,294.89633,312.3781
1.688841e+07,1,294.89633,312.3781
1.688844e+07,1,294.88376,312.3873
1.688844e+07,1,294.88376,312.3873
1.688844e+07,1,294.88498,312.38742
1.688844e+07,1,294.88498,312.38742
1.688847e+07,1,294.88275,312.39658
1.688847e+07,1,294.88275,312.39658
1.68885e+07,1,294.8849,312.40558
1.68885e+07,1,294.8849,312.40558
1.68885e+07,1,294.88495,312.40567
1.68885e+07,1,294.88495,312.40567
1.688853e+07,1,294.8993,312.4144
1.688853e+07,1,294.8993,312.4144
16888544,1,294.886,312.4182
16888544,1,294.886,312.4182
1.688856e+07,1,294.88113,312.4231
1.688856e+07,1,294.88113,312.4231
